5.095809807403192337e+00,5.539306435587501909e+00,6.847460921464247008e+00,4.574050834925859732e+00
5.506343494955442175e+00,3.898012718672891008e+00,6.877537076800076754e+00,2.442049751730365426e+00
2.124184630448138655e+00,-2.580504928454218083e-01,2.178103838133384151e+00,1.741222554800295530e+00
2.570983444409191243e+00,1.140070067546633981e+00,4.570968889108050881e+00,1.147700335740033273e+00
7.061248008118267805e+00,2.575052845705062765e+00,7.531027847480057602e+00,6.310088897901738880e-01
9.584169637389317487e+00,7.639443732778466334e+00,7.597667130320398421e+00,7.407478672028145361e+00
5.298835204070242000e+00,4.432121560430971385e+00,3.801409460465476453e+00,5.757910435927259485e+00
7.714430315559434703e+00,7.552636688109584107e+00,6.427844512415745726e+00,9.083877025597175248e+00
6.828021126729651336e+00,5.545471327991536192e+00,7.754863544133608677e+00,7.317747585605114402e+00
1.073286048025332917e+01,4.645827852973117622e+00,9.097981414187273685e+00,3.493799016815369196e+00
1.298767150744946530e+00,2.187093750145180593e+00,2.050566851394342027e+00,1.527702204776665074e+00
2.276505929275401741e+00,1.684468980372266333e+00,3.912491937799606134e+00,2.834925315881373198e+00
